(c) 2021 L. Francisco, W. R. Davis, and P. D. Franzon, NC State University
Sample#,Tclk,MaxTran,Uncertainty,Fanout,Area,Cpath
71,5487.975,356.6736552,85.2440678,48,24019.69319,3851.158929
72,6744.489106999999,326.854069,41.6779661,11,23934.59618,4252.062320999999
73,8020.0405359999995,322.04413789999995,43.15084746,18,23287.11881,4723.031606999999
74,1223.445357,472.1037241,25.38983051,11,35916.23095,2926.388214
75,7296.591786,206.6124138,60.36949153,13,23931.557,4459.891786
76,4669.339643,404.7696552,42.49661017,46,24593.83381,3500.737857
77,1375.750714,105.6104828,3.1033898310000003,25,35388.07438,2865.995357
78,956.9126786,182.5644138,52.63559322,23,34792.13093,3069.7805356000003
79,2118.236786,68.096,8.596610169,28,35710.22718,2898.424286
80,2232.4641070000002,419.1977931,16.03898305,5,33486.86941,2909.2373213
81,519.0373214,142.1649655,32.33728814,44,36859.83,2967.0855354
82,8400.800536,190.2609655,50.91016949,48,23343.40969,4796.5005360000005
83,5773.548393,37.31475862,0.250847458,41,25009.14434,3846.371607
84,8515.03125,487.49517239999994,40.13050847,9,23596.85084,5018.624107
85,7810.619820999999,457.6755862,173.3762712,37,23257.12343,4801.630534999999
86,1794.58875,435.5508966,161.0305085,16,36188.56783,3202.4548210000003
87,6991.984464,102.7255172,28.2779661,31,24358.62776,4326.929107
88,5944.891071,201.8041379,81.24745763,38,24064.6202,4007.6375
89,7467.934464,280.6813793,30.7220339,10,23831.79264,4425.627321
90,4060.121607,81.56248276,24.36610169,15,26470.19674,3143.3037499
91,2460.922143,335.5106207,74.95762712,22,32218.077999999998,3036.384643
92,5545.090357,415.3511724,138.9627119,18,23962.08093,3914.483214
93,9923.847321,452.8656552,166.3762712,12,22969.8549,5678.80625
94,785.57,57.51448276,16.59830508,35,38939.15722,2925.275357
95,3831.663571,266.2532414,105.2728814,19,25765.63571,3165.8832139
96,7905.813214,410.5412414,141.0169492,19,23298.614840000002,4732.7792850000005
97,2270.542143,386.4932414,9.43220339,25,32217.681610000003,2884.1403573
98,5583.165,398.03641380000005,98.78813559,36,24085.63018,3882.495357
99,9447.897320999999,109.4587586,2.698305085,21,22954.79114,5183.347320999998
100,3374.750893,424.0077241,128.7661017,37,29132.25375,3133.3491073
101,2384.769464,268.1765517,22.81694915,30,32658.098339999997,2942.419464
102,9771.541964,267.2148966,55.21016949,49,22700.028619999997,5396.622321
