(c) 2021 L. Francisco, W. R. Davis, and P. D. Franzon, NC State University
Sample#,Tclk,MaxTran,Uncertainty,Fanout,Area,Cpath
148,4212.423571,147.9365517,3.7949152539999997,45,13638.516469999999,3176.9235710000003
149,6078.155714,365.33020689999995,18.41694915,14,12759.26867,3954.8378570000004
150,1470.940714,201.8041379,24.74915254,34,20308.458309999998,2868.051428
151,6439.878393,25.77158621,1.008474576,45,13431.059469999998,4203.306963999999
152,8724.448570999999,346.09213789999995,5.6254237289999995,36,12111.65915,4999.668213999999
153,9942.884643000001,101.7638621,24.61355932,27,12219.88037,5096.866786000001
154,5906.813036,142.1649655,12.52542373,24,13102.035259999999,3899.4630359999996
155,7525.049821,261.4433103,9.954237288,17,12186.18512,4699.30875
156,5316.632321,291.2628966,44.65254237,44,12935.01252,3755.81625
157,7182.364464,424.0077241,30.72372881,47,12117.86965,4606.473393
158,1585.171429,70.01931034,13.16949153,39,20032.02515,2840.9017860000004
159,4174.348929,195.0708966,75.18644068,28,13435.948569999999,3251.2882147
160,7981.9625,500.0,170.7830508,39,12117.3411,5081.103571
161,7467.934464,164.28799999999998,48.05762712,18,12199.66322,4683.213035000001
162,8781.563929,108.4971034,21.98813559,9,12498.824190000001,4999.546072
163,5564.127679,58.47613793,12.87288136,44,13136.259059999998,3819.588393
164,3317.635536,217.193931,11.755932199999998,21,15444.185519999999,2827.5033931
165,2936.872143,488.45682760000005,172.38644069999998,18,17118.509130000002,3164.2614287
166,3869.738214,492.3051034,191.4101695,38,13746.473430000002,3246.0971426
167,7734.470536,174.8695172,13.50847458,42,12140.201009999999,4804.331249999999
168,8134.267856999999,477.8753103,149.5423729,27,12139.8046,5099.187499999999
169,4288.57625,434.5892414,125.28135590000001,19,13447.18032,3359.6458929
170,9733.467321,247.9751724,69.24915254,35,12105.05224,5098.111964
171,2441.884821,107.5354483,12.81525424,50,17714.32044,2832.4366067
172,2955.912857,380.7216552,21.05932203,36,16033.12564,2835.025357
173,8400.800536,401.8830345,102.040678,18,12199.79536,5087.5058930000005
174,519.0373214,257.5950345,75.51864407,18,19639.17813,2969.4944644
175,6268.535714,102.7255172,13.77288136,10,13395.9107,4151.799999999999
176,5468.937679,251.8234483,51.58135593,43,12927.61278,3773.6626789999996
177,1394.788036,278.758069,75.47966102,34,19792.45848,2967.309465
178,9619.24,94.06731034,16.66271186,8,12567.007529999999,5052.725714
179,6706.414464,263.3666207,26.66949153,26,12332.19787,4308.614464
180,6420.841071,266.2532414,50.04745763,30,12653.558079999999,4135.514284999999
181,2270.542143,331.664,17.24237288,12,18356.77655,2844.1385716000004
182,3488.978214,186.4126897,13.96779661,37,13924.86005,2877.5853569
183,1832.666786,210.4606897,73.40847458,46,19079.04418,2950.918572
184,5811.623036,54.62951724,14.955932199999998,15,13150.79427,3923.63375
185,6211.42375,480.76193099999995,184.5389831,9,12968.04709,4250.827321
186,5773.548393,119.07862069999999,46.41355932,34,13178.939709999999,3920.980536
187,8153.305179000001,311.4626207,28.06440678,4,13042.96946,4873.498036000001
188,4060.121607,407.6546207,88.25762712,41,13542.451969999998,3215.5037499
189,8952.906606999999,374.950069,147.9,8,12365.628840000001,5240.510177999999
190,2327.654107,387.4548966,49.80338983,29,18198.87136,2899.8933927
191,1071.143393,230.662069,7.088135593,35,20355.23525,2825.895179
192,7829.660536,183.5277241,59.86610169,6,12691.08533,4887.2730360000005
193,2099.1994640000003,220.0805517,72.37457627,29,19383.88703,2978.0173211
194,4688.376964,162.36468969999999,5.349152542,12,13713.57101,3391.898393
195,6687.37375,70.98262069,4.43559322,31,13416.39206,4363.945179
196,2365.732143,188.33599999999998,45.83389831,28,17862.31527,2891.4214287000004
197,2156.311429,77.71586207,24.01864407,44,19600.99008,2848.3185719
198,9010.018570999999,95.03062069,1.203389831,25,12250.14002,4950.227499999999
199,4802.604286,72.90593103,16.30677966,21,14422.88905,3458.6935719999997
200,8229.457857,449.0173793000001,14.26440678,15,12270.357179999999,4949.447142999999
