(c) 2021 L. Francisco, W. R. Davis, and P. D. Franzon, NC State University
Sample#,Tclk,MaxTran,Uncertainty,Fanout,Area,Cpath
113,5199.683929,475.952,141.95423730000002,10,4582.289893,2601.026786
114,12869.30875,146.9732414,2.710169492,8,4451.2087759999995,3420.8801790000016
115,10323.64804,417.27448280000004,159.6542373,26,4335.191401,3793.890897
116,9605.64143,268.1765518,74.31694916,16,4351.576543,3674.0450009999995
117,8626.537501,241.2419311,12.29661017,35,4145.969431,3612.946430000001
118,14762.23804,437.4742069,100.46779659999999,44,4322.770404999999,3679.4701800000003
119,15904.524819999999,204.6891035,55.83389831,44,4330.302284,3522.86946
120,12901.948040000001,109.4587587,31.588135600000005,27,4351.312265,3540.715897
121,5395.506072,362.4452414,36.54067797,39,4389.235925,2583.031072
122,7288.435358,87.33406904,0.6881355929999999,15,4246.65877,3213.783572
123,10617.377859999999,251.8234483,72.58135594,17,4347.348118999999,3724.6867889999994
124,11596.47839,133.5067587,16.12033899,15,4376.286392,3594.1194609999993
125,7451.618215,74.82924145,2.577966102,31,4195.653405,3317.387858
126,2197.1071420000003,173.90786210000002,0.279661017,41,5259.498361999999,1839.7374991000004
127,630.5469635,406.69296549999996,147.62711869999998,39,6647.346288000001,2042.4844635
128,10421.55572,26.73324146,7.12881356,44,4689.189736,3549.391434
129,2392.929285,240.28027590000002,22.35593221,13,5126.567295000001,1941.8828564
130,3567.848571,283.56634489999993,93.35423730000001,10,4764.1121060000005,2111.0575
131,8136.9889299999995,301.84441380000004,13.47118644,16,4178.607575999999,3595.208573
132,5134.412143,202.7657932,75.42372883,6,4617.042254,2522.6246429999997
133,4155.311607,217.1939311,84.74406781,21,4631.181039,2101.4794639999996
134,1315.917678,44.04800008,12.93050848,8,7501.355729000001,1795.8373209
135,9703.549109,259.5183449,103.2067797,28,4334.794986,3745.284823
136,11009.01875,345.13048280000004,28.04745763,21,4341.666175,3502.288393
137,12804.036970000001,401.8830345,107.9288136,19,4342.194728,3642.508399000002
138,11988.11929,450.9423448,51.05762713,19,4342.7232810000005,3578.685361
139,8300.171787000001,154.6697932,2.730508475,9,4239.523305,3396.746787000001
140,8822.359644,30.58151732,3.5406779669999997,15,4435.2200299999995,3167.7221440000003
141,7745.348037000001,185.4510345,52.88644069,4,4517.938576,3254.7319660000003
142,1772.830357,273.948138,94.14406781,10,7054.067806999999,1837.6678570000001
143,10127.82589,108.4971035,27.59322034,37,4352.501509000001,3567.024104
144,6962.066251,435.5508966,63.48983052,34,4187.857254,3268.8394650000005
145,9964.643037,275.8714483,57.46949153,29,4332.812911,3649.2466079999995
146,11400.65964,428.8176552,92.52881357,20,4339.287687,3629.0489259999995
147,2295.018214,233.54703450000002,8.1220339,31,5130.79572,1898.0539283000003
148,13358.86072,336.47227589999994,74.62881357,17,4354.351446,3617.289290999999
149,4840.682322,148.898207,53.010169499999996,19,4647.830454999999,2368.476965
150,5264.959108,211.4223449,54.45762713,12,4466.272522,2559.087679
151,12967.21982,313.3875862,83.70169493,29,4334.0021560000005,3626.175176999999
152,10584.741970000001,106.5737932,22.17796611,5,4681.790005,3379.5687560000006
153,10911.10768,319.1575173,95.88644069,5,4571.983125,3533.2041090000002
154,1348.5535710000001,328.7773793,33.64745763,28,6470.941752000001,1822.7732139
155,14174.7784,380.7216552,26.01355933,9,4402.185489,3538.78197
156,499.99999919999993,318.1958621,110.32033899999999,17,6811.726265,2008.4642851999997
157,16067.707680000001,272.98648280000003,96.46440679,27,4332.812911,3686.9005400000005
158,9148.725359,337.4355862,63.32881357,37,4141.2124539999995,3810.5735729999997
159,11433.295540000001,195.0708966,54.2661017,40,4331.491529,3528.040183000002
160,2490.840357,68.09600007,0.901694915,16,5069.3514350000005,1899.0921427
161,859.0049992,25.77158629,4.654237289,34,8919.859731999999,1800.3871421
162,12771.40107,199.8791725,20.15593221,45,4330.0380079999995,3483.759999
163,2066.560178,201.804138,14.32881356,18,5846.060015,1804.6316066000002
164,13130.40268,424.96937930000007,137.3644068,46,4326.073861,3712.9508939999996
165,3013.024821,348.0154483,70.42711865,8,4831.502607,2075.7819639
166,10976.38286,121.0019311,43.80847458,19,4354.087168999999,3659.7203599999993
167,15186.514819999999,331.664,57.654237300000005,4,4653.9088329999995,3495.882679999999
168,2327.654107,354.7486897,117.94237290000001,19,5648.116928,2035.5630356
169,5069.136965,473.0653793000001,65.5322034,11,4575.418702,2452.667322
170,14925.4209,47.89627594,5.655932204,5,4609.3782439999995,3374.71019
171,6439.878393999999,404.7696552,19.10677966,29,4215.4741460000005,2984.7283939999993
172,8071.713751,375.9117242,39.13389831,49,4135.6626479999995,3641.8298220000006
